MSA	2008	2007	2006	2005	2004	2003	2002	2001	2000
Tyler, TX	347	462	679	745	724	657	631	537	543
Utica-Rome, NY	343	480	638	596	512	481	474	419	405
Valdosta, GA	846	1,253	1,462	1,226	1,437	1,050	799	541	966
Vallejo-Fairfield, CA	565	1,019	1,205	2,354	2,961	2,642	2,474	2,568	2,233
Victoria, TX	145	187	239	241	553	244	323	224	235
Vineland-Millville-Bridgeton, NJ	336	683	737	630	566	374	310	256	255
Virginia Beach-Norfolk-Newport News, VA-NC	5,149	6,317	7,689	11,360	10,186	10,353	10,211	8,763	7,482
Visalia-Porterville, CA	1,487	2,689	3,575	3,317	2,492	2,270	1,993	1,772	1,627
Waco, TX	858	1,064	1,053	1,322	1,541	891	793	946	691
Warner Robins, GA	917	1,490	2,113	1,825	1,968	1,648	1,411	2,050	1,505
Washington-Arlington-Alexandria, DC-VA-MD-WV	13,732	22,459	27,958	36,776	38,024	35,847	38,566	36,798	37,849
Waterloo-Cedar Falls, IA	350	466	645	735	685	690	630	663	577
Wausau, WI	568	675	676	1,178	1,192	1,395	922	1,073	803
Weirton-Steubenville, WV-OH	82	166	51	59	156	156	187	184	146
Wenatchee, WA	489	1,107	1,041	902	693	663	526	455	393
Wheeling, WV-OH	36	137	73	91	141	55	44	36	49
Wichita, KS	2,549	2,781	3,656	3,349	3,106	3,648	3,221	2,846	2,659
Wichita Falls, TX	162	766	358	565	327	534	494	385	243
Williamsport, PA	194	206	300	299	349	289	355	388	313
Wilmington, NC	3,662	6,229	7,107	9,206	8,332	6,455	5,497	4,893	3,657
Winchester, VA-WV	431	802	1,428	1,783	1,394	1,137	1,351	875	727
Winston-Salem, NC	2,078	3,580	3,787	3,994	3,949	3,406	3,549	2,865	3,524
Worcester, MA	909	1,787	2,685	3,598	3,692	3,629	3,313	2,849	2,801
Yakima, WA	760	1,224	692	780	939	606	534	454	484
York-Hanover, PA	1,400	2,029	2,903	3,116	3,087	3,148	2,956	2,185	2,009
Youngstown-Warren-Boardman, OH-PA	531	851	956	1,228	1,656	1,431	1,622	1,330	1,616
Yuba City, CA	261	1,028	1,349	2,994	3,046	1,597	1,041	648	322
Yuma, AZ	827	1,044	1,574	2,308	2,700	1,915	1,726	1,310	1,228
